id_municipio,sigla_uf,ano,quantidade_matricula
2706422,AL,2017,1729
2701902,AL,2017,1376
2704708,AL,2017,7523
2704203,AL,2017,3954
2702306,AL,2017,8523
2705309,AL,2017,936
2703601,AL,2017,1435
2708303,AL,2017,3363
2707008,AL,2017,406
2704104,AL,2017,2840
2705903,AL,2017,1153
2701100,AL,2017,1964
2702108,AL,2017,3323
1303809,AM,2017,6297
1300805,AM,2017,5145
1302801,AM,2017,3376
1301159,AM,2017,2694
1301001,AM,2017,3078
1304005,AM,2017,1784
1200609,AC,2017,5286
1200393,AC,2017,2173
1200344,AC,2017,1397
3204401,ES,2017,708
3201407,ES,2017,3754
3203056,ES,2017,3679
3200136,ES,2017,1159
3204955,ES,2017,529
3203809,ES,2017,1035
2300903,CE,2017,1692
2313906,CE,2017,1961
2311231,CE,2017,828
2311207,CE,2017,1419
2307254,CE,2017,3206
2310704,CE,2017,4635
2300606,CE,2017,1054
2304509,CE,2017,2002
2305902,CE,2017,5748
2312502,CE,2017,782
2310209,CE,2017,5034
2311959,CE,2017,3187
2311355,CE,2017,2210
2308500,CE,2017,5637
5204557,GO,2017,246
5204300,GO,2017,1272
5218508,GO,2017,3683
5206909,GO,2017,136
5205703,GO,2017,106
5219209,GO,2017,181
5203401,GO,2017,597
5212204,GO,2017,960
5213756,GO,2017,1411
5209606,GO,2017,33
5218300,GO,2017,3552
5222005,GO,2017,1097
5210901,GO,2017,1606
5208103,GO,2017,194
5216809,GO,2017,285
5221577,GO,2017,320
5221502,GO,2017,256
5220108,GO,2017,1748
2933174,BA,2017,1117
2907707,BA,2017,1742
2919009,BA,2017,647
2903102,BA,2017,837
2926509,BA,2017,2336
2900702,BA,2017,8881
2925808,BA,2017,3504
2904704,BA,2017,1906
2920205,BA,2017,2943
2903953,BA,2017,1703
2929008,BA,2017,1310
2932705,BA,2017,3368
2930204,BA,2017,5846
2927408,BA,2017,98822
2922805,BA,2017,1296
2933109,BA,2017,999
2913903,BA,2017,5171
2923605,BA,2017,2142
2929255,BA,2017,2762
2926806,BA,2017,1766
2909208,BA,2017,2850
2916500,BA,2017,5818
2922706,BA,2017,2244
2904209,BA,2017,1527
2929404,BA,2017,1464
2931608,BA,2017,2563
2923704,BA,2017,5188
1600253,AP,2017,628
1600105,AP,2017,748
1600279,AP,2017,4033
1600501,AP,2017,2690
2708600,AL,2017,6826
2707701,AL,2017,10186
2703809,AL,2017,3580
2702900,AL,2017,6095
2701506,AL,2017,1860
2708105,AL,2017,1912
2702504,AL,2017,1775
2703106,AL,2017,3683
2702801,AL,2017,2353
1304237,AM,2017,2749
1300680,AM,2017,2147
1301654,AM,2017,1715
1301308,AM,2017,2289
1200500,AC,2017,3992
3205309,ES,2017,26288
3202801,ES,2017,4725
3204807,ES,2017,913
2307908,CE,2017,1884
2301109,CE,2017,8747
2307205,CE,2017,1083
2307106,CE,2017,4453
2301257,CE,2017,1611
2308377,CE,2017,2173
2312908,CE,2017,21551
2305605,CE,2017,2733
2302008,CE,2017,2448
2313500,CE,2017,7983
2304905,CE,2017,1311
2305407,CE,2017,8305
2311702,CE,2017,2444
2303402,CE,2017,2458
2301604,CE,2017,2794
2300804,CE,2017,1140
2309409,CE,2017,3739
2309102,CE,2017,1311
5201504,GO,2017,360
5205455,GO,2017,514
5212055,GO,2017,189
5217104,GO,2017,1607
5219258,GO,2017,384
5209804,GO,2017,242
5221197,GO,2017,617
5205802,GO,2017,660
5219704,GO,2017,873
5205208,GO,2017,452
5213509,GO,2017,593
5215009,GO,2017,481
5204003,GO,2017,641
5209903,GO,2017,1098
5200175,GO,2017,496
5219902,GO,2017,425
5218102,GO,2017,307
2918506,BA,2017,2410
2910305,BA,2017,882
2903003,BA,2017,1972
2922003,BA,2017,5442
2932606,BA,2017,2199
2906501,BA,2017,8112
2912806,BA,2017,1326
2911006,BA,2017,1211
2919108,BA,2017,1531
2930907,BA,2017,1900
2915700,BA,2017,1737
2904605,BA,2017,7432
2903607,BA,2017,2737
2904001,BA,2017,1841
2933307,BA,2017,30241
2910859,BA,2017,2532
2910602,BA,2017,5172
2915007,BA,2017,2246
2924108,BA,2017,942
2904050,BA,2017,2659
2910800,BA,2017,31414
2900405,BA,2017,2380
2921807,BA,2017,1525
2922656,BA,2017,2362
2920700,BA,2017,3912
2928307,BA,2017,1371
2913507,BA,2017,3433
2927606,BA,2017,2489
2932457,BA,2017,2243
2902500,BA,2017,2269
2925402,BA,2017,1697
2922409,BA,2017,2531
2912509,BA,2017,1887
2908606,BA,2017,4247
1600055,AP,2017,505
1600212,AP,2017,409
1600550,AP,2017,553
2702603,AL,2017,3468
2701209,AL,2017,1746
2704807,AL,2017,1440
2705606,AL,2017,1879
2704302,AL,2017,34996
2701407,AL,2017,6114
2703304,AL,2017,2893
